Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
3,Lindsey Herbert,4,African American Studies,R1AN,A,R & C Sum Bdg
4,Lindsey Herbert,3.7,African American Studies,R1AN,A-,R & C Sum Bdg
4,Lindsey Herbert,3.3,African American Studies,R1AN,B+,R & C Sum Bdg
3,Lindsey Herbert,3,African American Studies,R1AN,B,R & C Sum Bdg
1,Lindsey Herbert,2.7,African American Studies,R1AN,B-,R & C Sum Bdg
1,Lindsey Herbert,2.3,African American Studies,R1AN,C+,R & C Sum Bdg
3,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
1,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
2,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
1,Aparajita Nanda,2,African American Studies,R1B,C,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,F,Freshmn Composition
1,Aparajita Nanda,,African American Studies,R1B,Pass,Freshmn Composition
4,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
2,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
1,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
4,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
2,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
3,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
1,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
3,Aparajita Nanda,2.3,African American Studies,R1B,C+,Freshmn Composition
1,Aparajita Nanda,2,African American Studies,R1B,C,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,F,Freshmn Composition
2,G. Ugo Nwokeji,4,African American Studies,4A,A+,Africa:  Hist & Cul
1,G. Ugo Nwokeji,4,African American Studies,4A,A,Africa:  Hist & Cul
1,G. Ugo Nwokeji,3.7,African American Studies,4A,A-,Africa:  Hist & Cul
1,G. Ugo Nwokeji,3.3,African American Studies,4A,B+,Africa:  Hist & Cul
3,G. Ugo Nwokeji,3,African American Studies,4A,B,Africa:  Hist & Cul
1,G. Ugo Nwokeji,2.3,African American Studies,4A,C+,Africa:  Hist & Cul
1,G. Ugo Nwokeji,,African American Studies,4A,Pass,Africa:  Hist & Cul
4,Arif Gamal,4,African American Studies,4B,A+,Africa:  Hist & Cul
10,Arif Gamal,4,African American Studies,4B,A,Africa:  Hist & Cul
9,Arif Gamal,3.7,African American Studies,4B,A-,Africa:  Hist & Cul
5,Arif Gamal,3.3,African American Studies,4B,B+,Africa:  Hist & Cul
2,Arif Gamal,3,African American Studies,4B,B,Africa:  Hist & Cul
1,Arif Gamal,2.7,African American Studies,4B,B-,Africa:  Hist & Cul
1,Arif Gamal,0,African American Studies,4B,F,Africa:  Hist & Cul
1,Arif Gamal,,African American Studies,4B,Pass,Africa:  Hist & Cul
2,Cara Stanley,4,African American Studies,39D,A,Fresh/Soph Seminar
3,Cara Stanley,3.7,African American Studies,39D,A-,Fresh/Soph Seminar
3,Cara Stanley,3.3,African American Studies,39D,B+,Fresh/Soph Seminar
1,Cara Stanley,3,African American Studies,39D,B,Fresh/Soph Seminar
3,Cara Stanley,2.7,African American Studies,39D,B-,Fresh/Soph Seminar
1,Cara Stanley,2.3,African American Studies,39D,C+,Fresh/Soph Seminar
2,Cara Stanley,2,African American Studies,39D,C,Fresh/Soph Seminar
1,Cara Stanley,,African American Studies,39D,Pass,Fresh/Soph Seminar
1,John Patton,4,African American Studies,39E,A,Fresh/Soph Seminar
3,John Patton,3.7,African American Studies,39E,A-,Fresh/Soph Seminar
4,John Patton,3.3,African American Studies,39E,B+,Fresh/Soph Seminar
3,John Patton,3,African American Studies,39E,B,Fresh/Soph Seminar
4,John Patton,2.7,African American Studies,39E,B-,Fresh/Soph Seminar
3,John Patton,,African American Studies,39E,Pass,Fresh/Soph Seminar
11,Stephen Small,4,African American Studies,W111,A,Race:  Class & Gen
15,Stephen Small,3.7,African American Studies,W111,A-,Race:  Class & Gen
9,Stephen Small,3.3,African American Studies,W111,B+,Race:  Class & Gen
4,Stephen Small,3,African American Studies,W111,B,Race:  Class & Gen
5,Stephen Small,2.7,African American Studies,W111,B-,Race:  Class & Gen
4,Stephen Small,2,African American Studies,W111,C,Race:  Class & Gen
3,Stephen Small,0,African American Studies,W111,F,Race:  Class & Gen
20,Stephen Small,,African American Studies,W111,Pass,Race:  Class & Gen
3,Stephen Small,,African American Studies,W111,Not Pass,Race:  Class & Gen
3,Sam Mchombo,4,African American Studies,115,A+,Lang Soc Iss Africa
9,Sam Mchombo,4,African American Studies,115,A,Lang Soc Iss Africa
4,Sam Mchombo,3.7,African American Studies,115,A-,Lang Soc Iss Africa
5,Charles Henry,4,African American Studies,W124,A+,Pol Phil M L King
8,Charles Henry,4,African American Studies,W124,A,Pol Phil M L King
4,Charles Henry,3.7,African American Studies,W124,A-,Pol Phil M L King
1,Charles Henry,3.3,African American Studies,W124,B+,Pol Phil M L King
1,Charles Henry,3,African American Studies,W124,B,Pol Phil M L King
1,Charles Henry,2,African American Studies,W124,C,Pol Phil M L King
2,Charles Henry,1.7,African American Studies,W124,C-,Pol Phil M L King
1,Charles Henry,1,African American Studies,W124,D,Pol Phil M L King
3,Charles Henry,0,African American Studies,W124,F,Pol Phil M L King
14,Charles Henry,,African American Studies,W124,Pass,Pol Phil M L King
9,Charles Henry,,African American Studies,W124,Not Pass,Pol Phil M L King
3,Jarvis Givens; Nailah Suad-Bakari,4,African American Studies,139,A,Sel Top:Africam Soc
11,Jarvis Givens; Nailah Suad-Bakari,3.7,African American Studies,139,A-,Sel Top:Africam Soc
2,Jarvis Givens; Nailah Suad-Bakari,3.3,African American Studies,139,B+,Sel Top:Africam Soc
2,Jarvis Givens; Nailah Suad-Bakari,2.3,African American Studies,139,C+,Sel Top:Africam Soc
1,Jarvis Givens; Nailah Suad-Bakari,1.7,African American Studies,139,C-,Sel Top:Africam Soc
8,Frederick Vincent,4,African American Studies,159,A,Spec Top Afam Lit
2,Frederick Vincent,3.7,African American Studies,159,A-,Spec Top Afam Lit
1,Frederick Vincent,,African American Studies,159,Pass,Spec Top Afam Lit
4,Brandi Catanese; Christina Bush,4,African American Studies,159,A,Spec Top Afam Lit
2,Brandi Catanese; Christina Bush,3.7,African American Studies,159,A-,Spec Top Afam Lit
3,Brandi Catanese; Christina Bush,3.3,African American Studies,159,B+,Spec Top Afam Lit
2,Brandi Catanese; Christina Bush,3,African American Studies,159,B,Spec Top Afam Lit
1,Brandi Catanese; Christina Bush,2.3,African American Studies,159,C+,Spec Top Afam Lit
2,Brandi Catanese; Christina Bush,2,African American Studies,159,C,Spec Top Afam Lit
2,Brandi Catanese; Christina Bush,,African American Studies,159,Pass,Spec Top Afam Lit
2,Brandi Catanese; Christina Bush,,African American Studies,159,Pass,Spec Top Afam Lit
1,Nailah Suad-Bakari,,African American Studies,197,Pass,Field Study
1,Nailah Suad-Bakari,,African American Studies,197,Pass,Field Study
